i,j,partner_a,partner_b,kind
11,15,K11,E15,helix
13,17,M13,A17,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
19,23,R19,E23,helix
10,16,S10,E16,sheet
12,18,Q12,V18,sheet
18,25,V18,L25,sheet
18,37,V18,P37,sheet
20,25,L20,L25,sheet
20,27,L20,N27,sheet
20,35,L20,P35,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
25,30,L25,P30,sheet
25,33,L25,G33,sheet
25,35,L25,P35,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,33,N27,G33,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
28,33,G28,G33,sheet
28,35,G28,P35,sheet
28,36,G28,P36,sheet
28,37,G28,P37,sheet
30,35,P30,P35,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
