i,j,partner_a,partner_b,kind
5,9,F5,L9,helix
6,10,T6,S10,helix
10,14,S10,E14,helix
15,19,E15,R19,helix
21,25,F21,L25,helix
22,26,I22,K26,helix
25,29,L25,G29,helix
26,30,K26,P30,helix
29,33,G29,G33,helix
31,35,S31,P35,helix
3,8,G3,D8,sheet
8,13,D8,M13,sheet
11,17,K11,A17,sheet
11,20,K11,L20,sheet
13,20,M13,L20,sheet
17,24,A17,W24,sheet
17,36,A17,P36,sheet
17,37,A17,P37,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
24,32,W24,S32,sheet
24,34,W24,A34,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
28,34,G28,A34,sheet
28,36,G28,P36,sheet
28,37,G28,P37,sheet
32,37,S32,P37,sheet
