0.000,0.207,0.661,0.861,0.876,0.464,0.623,0.410,0.618,0.443,0.253,0.371,0.564,0.626,0.352,0.600,0.512,0.496,0.332,0.778,0.806,0.217,0.256,0.580,0.508,0.334,0.419,0.506
0.207,0.000,0.157,1.049,1.004,1.228,0.313,0.522,1.099,0.457,0.323,0.465,0.680,0.807,0.611,0.739,0.708,0.507,0.424,0.705,0.834,0.241,0.342,0.578,0.577,0.313,0.476,0.539
0.661,0.157,0.000,0.314,1.094,0.945,1.242,0.947,1.091,0.782,0.503,0.396,0.640,0.837,0.384,0.427,0.209,0.420,0.301,0.986,1.068,0.433,0.434,0.837,0.734,0.479,0.419,0.693
0.861,1.049,0.314,0.000,0.366,0.561,0.581,0.434,0.619,0.766,0.281,0.366,0.486,0.492,0.334,0.335,0.373,0.504,0.391,0.989,1.065,0.335,0.429,0.644,0.630,0.444,0.394,0.639
0.876,1.004,1.094,0.366,0.000,0.188,0.691,0.738,1.121,0.730,0.451,0.381,0.372,0.660,0.395,0.395,0.435,0.572,0.371,0.769,0.794,0.239,0.283,0.387,0.444,0.316,0.438,0.500
0.464,1.228,0.945,0.561,0.188,0.000,0.130,0.600,0.746,0.432,0.445,0.342,0.689,0.360,0.475,0.522,0.452,0.346,0.381,1.120,1.113,0.342,0.369,0.566,0.472,0.297,0.347,0.478
0.623,0.313,1.242,0.581,0.691,0.130,0.000,0.178,1.031,0.723,0.394,0.683,0.798,0.695,0.581,0.701,0.585,0.467,0.469,0.792,0.809,0.371,0.386,0.436,0.337,0.334,0.258,0.341
0.410,0.522,0.947,0.434,0.738,0.600,0.178,0.000,0.215,0.826,0.831,0.621,0.843,0.616,0.758,0.377,0.497,0.292,0.381,1.082,1.018,0.395,0.224,0.671,0.499,0.354,0.348,0.394
0.618,1.099,1.091,0.619,1.121,0.746,1.031,0.215,0.000,0.237,1.302,1.139,1.475,1.379,1.558,0.646,0.908,0.460,0.437,1.115,1.100,0.443,0.266,0.754,0.518,0.666,0.670,0.433
0.443,0.457,0.782,0.766,0.730,0.432,0.723,0.826,0.237,0.000,0.252,1.194,1.427,1.080,1.007,0.941,0.818,0.424,0.559,1.421,1.385,0.512,0.416,0.845,0.666,0.575,0.409,0.649
0.253,0.323,0.503,0.281,0.451,0.445,0.394,0.831,1.302,0.252,0.000,0.080,0.872,1.179,0.554,0.863,0.521,0.465,0.393,0.822,0.828,0.312,0.291,0.660,0.535,0.256,0.374,0.442
0.371,0.465,0.396,0.366,0.381,0.342,0.683,0.621,1.139,1.194,0.080,0.000,0.264,0.593,0.861,0.779,0.656,0.624,0.462,1.205,1.048,0.408,0.480,0.829,0.823,0.498,0.657,0.765
0.564,0.680,0.640,0.486,0.372,0.689,0.798,0.843,1.475,1.427,0.872,0.264,0.000,0.188,1.668,1.537,0.876,1.040,0.464,1.249,0.873,0.351,0.353,0.692,0.572,0.584,0.758,0.588
0.626,0.807,0.837,0.492,0.660,0.360,0.695,0.616,1.379,1.080,1.179,0.593,0.188,0.000,0.185,1.703,0.593,1.233,0.777,1.168,1.072,0.500,0.686,0.591,0.850,1.000,1.032,0.902
0.352,0.611,0.384,0.334,0.395,0.475,0.581,0.758,1.558,1.007,0.554,0.861,1.668,0.185,0.000,0.210,0.602,0.958,0.762,0.886,0.961,0.513,0.387,0.600,0.748,0.556,0.528,0.675
0.600,0.739,0.427,0.335,0.395,0.522,0.701,0.377,0.646,0.941,0.863,0.779,1.537,1.703,0.210,0.000,0.317,1.178,0.756,0.902,1.074,0.771,0.598,0.647,0.689,0.565,0.653,0.744
0.512,0.708,0.209,0.373,0.435,0.452,0.585,0.497,0.908,0.818,0.521,0.656,0.876,0.593,0.602,0.317,0.000,0.210,0.546,1.056,1.290,0.928,0.623,0.780,0.912,0.897,0.766,0.758
0.496,0.507,0.420,0.504,0.572,0.346,0.467,0.292,0.460,0.424,0.465,0.624,1.040,1.233,0.958,1.178,0.210,0.000,0.306,0.782,0.918,0.749,0.434,0.637,0.838,0.565,0.322,0.626
0.332,0.424,0.301,0.391,0.371,0.381,0.469,0.381,0.437,0.559,0.393,0.462,0.464,0.777,0.762,0.756,0.546,0.306,0.000,0.173,0.977,0.632,0.379,0.578,0.743,0.659,0.643,0.593
0.778,0.705,0.986,0.989,0.769,1.120,0.792,1.082,1.115,1.421,0.822,1.205,1.249,1.168,0.886,0.902,1.056,0.782,0.173,0.000,0.138,1.244,0.699,1.330,0.496,0.543,0.887,0.481
0.806,0.834,1.068,1.065,0.794,1.113,0.809,1.018,1.100,1.385,0.828,1.048,0.873,1.072,0.961,1.074,1.290,0.918,0.977,0.138,0.000,0.133,0.982,0.824,0.843,0.587,1.193,0.468
0.217,0.241,0.433,0.335,0.239,0.342,0.371,0.395,0.443,0.512,0.312,0.408,0.351,0.500,0.513,0.771,0.928,0.749,0.632,1.244,0.133,0.000,0.133,0.987,0.886,0.636,0.756,0.709
0.256,0.342,0.434,0.429,0.283,0.369,0.386,0.224,0.266,0.416,0.291,0.480,0.353,0.686,0.387,0.598,0.623,0.434,0.379,0.699,0.982,0.133,0.000,0.241,0.592,0.526,0.526,0.465
0.580,0.578,0.837,0.644,0.387,0.566,0.436,0.671,0.754,0.845,0.660,0.829,0.692,0.591,0.600,0.647,0.780,0.637,0.578,1.330,0.824,0.987,0.241,0.000,0.262,0.818,0.905,0.868
0.508,0.577,0.734,0.630,0.444,0.472,0.337,0.499,0.518,0.666,0.535,0.823,0.572,0.850,0.748,0.689,0.912,0.838,0.743,0.496,0.843,0.886,0.592,0.262,0.000,0.203,1.289,0.820
0.334,0.313,0.479,0.444,0.316,0.297,0.334,0.354,0.666,0.575,0.256,0.498,0.584,1.000,0.556,0.565,0.897,0.565,0.659,0.543,0.587,0.636,0.526,0.818,0.203,0.000,0.228,0.512
0.419,0.476,0.419,0.394,0.438,0.347,0.258,0.348,0.670,0.409,0.374,0.657,0.758,1.032,0.528,0.653,0.766,0.322,0.643,0.887,1.193,0.756,0.526,0.905,1.289,0.228,0.000,0.291
0.506,0.539,0.693,0.639,0.500,0.478,0.341,0.394,0.433,0.649,0.442,0.765,0.588,0.902,0.675,0.744,0.758,0.626,0.593,0.481,0.468,0.709,0.465,0.868,0.820,0.512,0.291,0.000
