i,j,partner_a,partner_b,kind
7,11,S7,K11,helix
9,13,L9,M13,helix
19,23,R19,E23,helix
23,27,E23,N27,helix
24,28,W24,G28,helix
27,31,N27,S31,helix
28,32,G28,S32,helix
29,33,G29,G33,helix
3,8,G3,D8,sheet
8,14,D8,E14,sheet
8,15,D8,E15,sheet
8,16,D8,E16,sheet
14,20,E14,L20,sheet
14,22,E14,I22,sheet
15,20,E15,L20,sheet
15,22,E15,I22,sheet
16,22,E16,I22,sheet
18,25,V18,L25,sheet
18,36,V18,P36,sheet
18,37,V18,P37,sheet
20,25,L20,L25,sheet
20,35,L20,P35,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
22,30,I22,P30,sheet
22,35,I22,P35,sheet
22,36,I22,P36,sheet
22,37,I22,P37,sheet
25,30,L25,P30,sheet
25,34,L25,A34,sheet
25,35,L25,P35,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
30,35,P30,P35,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
