i,j,partner_a,partner_b,kind
7,11,S7,K11,helix
13,17,M13,A17,helix
22,26,I22,K26,helix
29,33,G29,G33,helix
3,8,G3,D8,sheet
3,9,G3,L9,sheet
4,9,T4,L9,sheet
6,12,T6,Q12,sheet
8,15,D8,E15,sheet
9,15,L9,E15,sheet
12,18,Q12,V18,sheet
15,21,E15,F21,sheet
18,25,V18,L25,sheet
18,36,V18,P36,sheet
18,37,V18,P37,sheet
21,27,F21,N27,sheet
21,30,F21,P30,sheet
21,35,F21,P35,sheet
21,36,F21,P36,sheet
21,37,F21,P37,sheet
25,30,L25,P30,sheet
25,32,L25,S32,sheet
25,34,L25,A34,sheet
25,35,L25,P35,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,32,N27,S32,sheet
27,34,N27,A34,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
30,35,P30,P35,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
