i,j,partner_a,partner_b,kind
3,7,G3,S7,helix
4,8,T4,D8,helix
5,9,F5,Y9,helix
7,11,S7,I11,helix
9,13,Y9,M13,helix
10,14,S10,D14,helix
13,17,M13,H17,helix
14,18,D14,Q18,helix
17,21,H17,F21,helix
18,22,Q18,V22,helix
21,25,F21,L25,helix
22,26,V22,L26,helix
25,29,L25,K29,helix
26,30,L26,G30,helix
28,32,Q28,K32,helix
29,33,K29,N33,helix
30,34,G30,D34,helix
31,35,K31,W35,helix
32,36,K32,K36,helix
33,37,N33,H37,helix
35,39,W35,I39,helix
2,12,E2,A12,sheet
2,15,E2,K15,sheet
2,19,E2,Q19,sheet
12,19,A12,Q19,sheet
12,24,A12,W24,sheet
15,24,K15,W24,sheet
19,24,Q19,W24,sheet
19,27,Q19,A27,sheet
24,40,W24,T40,sheet
27,40,A27,T40,sheet
