pdb_id,seed,is_winner,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode
1D0R,0,False,28,3.467228809934756,5.366247238637629,6.684995474539042,0.19233652731202763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8695652173913043,0.6918238993710691,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,56.38,0
1D0R,1,False,28,4.050101053188149,5.632899920016479,6.928278304643913,0.11526008844698744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8043478260869565,0.7411764705882353,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,56.98,0
1D0R,2,False,28,4.06042243847626,5.484025882319038,6.395474781864574,0.1108936925912689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8478260869565218,0.6855345911949685,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,57.83,0
1D0R,3,False,28,4.033722048428572,5.691559473630112,6.949393922835707,0.1646147298274546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8043478260869565,0.7653631284916201,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,60.17,0
1D0R,4,True,28,3.112241867446896,5.075333739546234,6.409250030273971,0.2585084217418257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8043478260869565,0.8181818181818182,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,56.06,0
1D0R,5,False,28,4.033130495997851,5.227684952682048,6.258465531730012,0.14086257021665102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.782608695652174,0.7547169811320755,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,56.05,0
1D0R,6,False,28,3.2586599797904543,5.146850937188695,6.393014208256835,0.2214996998098109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.7608695652173914,0.695906432748538,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,63.66,0
1D0R,7,False,28,3.642729122039337,5.968039198802012,6.98494585091394,0.17802606868783521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8260869565217391,0.7861271676300579,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,60.53,0
1D0R,8,False,28,3.5936594811957723,6.066384031744239,7.714419441332149,0.22047802749785259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8260869565217391,0.7861635220125787,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,59.91,0
1D0R,9,False,28,3.885579743757719,5.434944202692994,6.653965188027517,0.18757736611231293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.8043478260869565,0.8055555555555556,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,60.2,0
