i,j,partner_a,partner_b,kind
6,10,T6,S10,helix
8,12,D8,Q12,helix
9,13,L9,M13,helix
10,14,S10,E14,helix
12,16,Q12,E16,helix
13,17,M13,A17,helix
14,18,E14,V18,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
18,22,V18,I22,helix
19,23,R19,E23,helix
22,26,I22,K26,helix
24,28,W24,G28,helix
28,32,G28,S32,helix
25,30,L25,P30,sheet
25,35,L25,P35,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
30,35,P30,P35,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
