i,j,partner_a,partner_b,kind
4,8,T4,D8,helix
15,19,S15,Q19,helix
17,21,R17,F21,helix
21,25,F21,L25,helix
1,7,S1,S7,sheet
1,10,S1,S10,sheet
2,7,Q2,S7,sheet
2,10,Q2,S10,sheet
2,11,Q2,K11,sheet
5,10,F5,S10,sheet
5,11,F5,K11,sheet
5,12,F5,Y12,sheet
5,18,F5,A18,sheet
7,12,S7,Y12,sheet
7,16,S7,R16,sheet
7,18,S7,A18,sheet
7,24,S7,W24,sheet
10,16,S10,R16,sheet
10,18,S10,A18,sheet
10,24,S10,W24,sheet
10,27,S10,N27,sheet
11,16,K11,R16,sheet
11,18,K11,A18,sheet
11,24,K11,W24,sheet
11,27,K11,N27,sheet
12,18,Y12,A18,sheet
12,24,Y12,W24,sheet
12,27,Y12,N27,sheet
16,24,R16,W24,sheet
18,24,A18,W24,sheet
