i,j,partner_a,partner_b,kind
2,6,E2,T6,helix
3,7,G3,S7,helix
4,8,T4,D8,helix
5,9,F5,L9,helix
9,13,L9,M13,helix
13,17,M13,A17,helix
14,18,E14,V18,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
18,22,V18,I22,helix
19,23,R19,E23,helix
21,25,F21,L25,helix
22,26,I22,K26,helix
23,27,E23,N27,helix
27,31,N27,S31,helix
1,11,G1,K11,sheet
1,12,G1,Q12,sheet
1,16,G1,E16,sheet
11,16,K11,E16,sheet
11,29,K11,G29,sheet
12,24,Q12,W24,sheet
12,29,Q12,G29,sheet
12,30,Q12,P30,sheet
16,24,E16,W24,sheet
16,29,E16,G29,sheet
16,30,E16,P30,sheet
16,35,E16,P35,sheet
16,36,E16,P36,sheet
24,29,W24,G29,sheet
24,30,W24,P30,sheet
24,35,W24,P35,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
29,35,G29,P35,sheet
29,36,G29,P36,sheet
29,37,G29,P37,sheet
30,35,P30,P35,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
