i,j,partner_a,partner_b,kind
11,15,K11,S15,helix
2,7,Q2,S7,sheet
4,9,T4,Y9,sheet
4,10,T4,S10,sheet
7,12,S7,Y12,sheet
7,13,S7,L13,sheet
8,13,D8,L13,sheet
8,14,D8,D14,sheet
9,14,Y9,D14,sheet
9,16,Y9,R16,sheet
10,16,S10,R16,sheet
12,17,Y12,R17,sheet
12,18,Y12,A18,sheet
12,19,Y12,Q19,sheet
13,18,L13,A18,sheet
13,19,L13,Q19,sheet
13,20,L13,D20,sheet
13,21,L13,F21,sheet
14,19,D14,Q19,sheet
14,20,D14,D20,sheet
14,21,D14,F21,sheet
16,21,R16,F21,sheet
17,24,R17,W24,sheet
18,24,A18,W24,sheet
19,24,Q19,W24,sheet
20,27,D20,N27,sheet
21,27,F21,N27,sheet
