condition,target,n_seeds,v1_ca_rmsd,deployed_ca_rmsd,oracle_ca_rmsd,worst_ca_rmsd,regret,v1_regret,winner_gated
0pct_masked,2HIU,2,1.0682243574135875,1.0682243574135875,0.9409214513719305,1.0682243574135875,0.12730290604165695,0.12730290604165695,True
0pct_masked,1FKF,2,1.6873551622365988,1.6873551622365988,1.6457132148639313,1.6873551622365988,0.041641947372667465,0.041641947372667465,True
0pct_masked,1HVZ,2,0.10272924189928541,0.10272924189928541,0.09320283516285716,0.10272924189928541,0.009526406736428253,0.009526406736428253,True
0pct_masked,1R1F,2,0.052208912175379624,0.052208912175379624,0.048975519986031474,0.052208912175379624,0.00323339218934815,0.00323339218934815,True
0pct_masked,1IB9,2,0.027425355964243652,0.027425355964243652,0.024634166981049574,0.027425355964243652,0.0027911889831940782,0.0027911889831940782,True
0pct_masked,1VII,2,0.03070007398655518,0.03070007398655518,0.027958178345239226,0.03070007398655518,0.002741895641315953,0.002741895641315953,True
0pct_masked,4PTI,2,0.0434806793623439,0.0434806793623439,0.04074065182953195,0.0434806793623439,0.0027400275328119464,0.0027400275328119464,True
0pct_masked,1L2Y,2,0.03156417951607617,0.03156417951607617,0.03060384822376121,0.03156417951607617,0.0009603312923149622,0.0009603312923149622,True
0pct_masked,1UBQ,2,0.0709374802873246,0.0709374802873246,0.07020985625694802,0.0709374802873246,0.0007276240303765863,0.0007276240303765863,True
0pct_masked,1PT4,2,0.0891765001799226,0.0891765001799226,0.08884271782623214,0.0891765001799226,0.0003337823536904566,0.0003337823536904566,True
0pct_masked,5WOW,2,0.031438869471390594,0.031438869471390594,0.031262395636102946,0.031438869471390594,0.00017647383528764798,0.00017647383528764798,True
0pct_masked,2KNM,2,0.01672319260377141,0.01672319260377141,0.016604314567918936,0.01672319260377141,0.00011887803585247311,0.00011887803585247311,True
0pct_masked,1CTF,2,0.05468553050544121,0.05468553050544121,0.05458192604313364,0.05468553050544121,0.00010360446230757436,0.00010360446230757436,True
0pct_masked,1POH,2,0.04197068333558048,0.04197068333558048,0.04189980145191646,0.04197068333558048,7.088188366401876e-05,7.088188366401876e-05,True
0pct_masked,1CRN,2,0.0796443744882743,0.0796443744882743,0.07957786355038664,0.0796443744882743,6.651093788766216e-05,6.651093788766216e-05,True
0pct_masked,2YXF,2,0.3989011580569706,0.3989011580569706,0.3988454808483967,0.3989011580569706,5.567720857385661e-05,5.567720857385661e-05,True
0pct_masked,1SHG,2,0.025577146541450865,0.025577146541450865,0.02553289916549934,0.025577146541450865,4.4247375951524115e-05,4.4247375951524115e-05,True
0pct_masked,2ACY,2,0.0673414236446372,0.0673414236446372,0.06729989174481539,0.0673414236446372,4.153189982181171e-05,4.153189982181171e-05,True
0pct_masked,1B3C,2,0.04511003209668283,0.04511003209668283,0.04507664495902625,0.04511003209668283,3.3387137656576416e-05,3.3387137656576416e-05,True
0pct_masked,1ENH,2,0.021328430147567395,0.021328430147567395,0.02130149239970377,0.021328430147567395,2.6937747863626377e-05,2.6937747863626377e-05,True
0pct_masked,2CI2,2,0.03334777831250534,0.03334777831250534,0.033323186529394054,0.03334777831250534,2.4591783111288512e-05,2.4591783111288512e-05,True
0pct_masked,1TIT,2,0.1219230325390492,0.1219230325390492,0.12191780481014552,0.1219230325390492,5.22772890367007e-06,5.22772890367007e-06,True
0pct_masked,1CSP,2,0.04060082026444092,0.04060082026444092,0.040596135634205235,0.04060082026444092,4.684630235687881e-06,4.684630235687881e-06,True
0pct_masked,1EGF,2,0.06450918419414549,0.06450918419414549,0.06450918419414549,0.07088120855208077,0.0,0.0,True
0pct_masked,1GB1,2,0.02187847897931795,0.02187847897931795,0.02187847897931795,0.021935422459710557,0.0,0.0,True
0pct_masked,1HPH,2,0.8180490978956602,0.8180490978956602,0.8180490978956602,0.8908892068115691,0.0,0.0,True
0pct_masked,1HRC,2,0.06778117441234467,0.06778117441234467,0.06778117441234467,0.0685723479569166,0.0,0.0,True
0pct_masked,1JBL,2,0.23656294321480004,0.23656294321480004,0.23656294321480004,0.28960993812643415,0.0,0.0,True
0pct_masked,1KTH,2,0.042591453880697946,0.042591453880697946,0.042591453880697946,0.042639152919211276,0.0,0.0,True
0pct_masked,1MSI,2,0.08135488720921454,0.08135488720921454,0.08135488720921454,0.08138589853780304,0.0,0.0,True
0pct_masked,1NB1,2,0.08924816785326375,0.08924816785326375,0.08924816785326375,0.0916768131594243,0.0,0.0,True
0pct_masked,1NXB,2,0.5664007207161362,0.5664007207161362,0.5664007207161362,0.5782804851342228,0.0,0.0,True
0pct_masked,1OMB,2,0.03003972522212128,0.03003972522212128,0.03003972522212128,0.030491520017368507,0.0,0.0,True
0pct_masked,1SN3,2,0.06418634046672358,0.06418634046672358,0.06418634046672358,0.06432278409972389,0.0,0.0,True
0pct_masked,1TEN,2,0.08893680064356921,0.08893680064356921,0.08893680064356921,0.089404244131587,0.0,0.0,True
0pct_masked,1YCC,2,0.2881924193215608,0.2881924193215608,0.2881924193215608,0.30523706915369303,0.0,0.0,True
0pct_masked,2CRD,2,0.02343208549942103,0.02343208549942103,0.02343208549942103,0.02569199321436309,0.0,0.0,True
0pct_masked,4INS,2,4.6421772923758295,4.6421772923758295,4.6421772923758295,4.672334826488431,0.0,0.0,True
