i,j,partner_a,partner_b,kind
12,16,Q12,E16,helix
19,23,R19,E23,helix
22,26,I22,K26,helix
26,30,K26,P30,helix
3,8,G3,D8,sheet
8,15,D8,E15,sheet
15,20,E15,L20,sheet
17,24,A17,W24,sheet
17,36,A17,P36,sheet
17,37,A17,P37,sheet
18,24,V18,W24,sheet
18,25,V18,L25,sheet
18,36,V18,P36,sheet
18,37,V18,P37,sheet
20,25,L20,L25,sheet
20,27,L20,N27,sheet
20,35,L20,P35,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
24,32,W24,S32,sheet
24,33,W24,G33,sheet
24,34,W24,A34,sheet
24,35,W24,P35,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
25,32,L25,S32,sheet
25,33,L25,G33,sheet
25,34,L25,A34,sheet
25,35,L25,P35,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,32,N27,S32,sheet
27,33,N27,G33,sheet
27,34,N27,A34,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
