i,j,partner_a,partner_b,kind
4,8,T4,D8,helix
6,10,T6,S10,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
18,22,V18,I22,helix
19,23,R19,E23,helix
21,25,F21,L25,helix
28,32,G28,S32,helix
7,12,S7,Q12,sheet
7,14,S7,E14,sheet
11,16,K11,E16,sheet
14,20,E14,L20,sheet
16,24,E16,W24,sheet
20,26,L20,K26,sheet
20,27,L20,N27,sheet
20,29,L20,G29,sheet
20,34,L20,A34,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
24,29,W24,G29,sheet
24,34,W24,A34,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
26,36,K26,P36,sheet
27,34,N27,A34,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
29,34,G29,A34,sheet
29,36,G29,P36,sheet
29,37,G29,P37,sheet
