0.000,0.450,1.741,1.744,2.435,3.176,2.901,3.176,3.057,2.363,2.849,2.591,1.643,2.123,2.530,2.760,1.603,2.021,3.258,3.390,3.478,3.930,4.522,5.094,4.748,4.403,5.028,5.360,4.927,4.847,4.957,4.935,5.485,5.462,5.560,5.552,5.657,5.784,5.047,5.720
0.450,0.000,1.238,1.067,2.035,2.696,1.919,2.598,2.218,0.773,1.582,1.420,0.726,1.747,1.838,2.732,1.772,1.630,3.031,3.075,3.097,3.493,4.084,4.700,4.345,3.995,4.528,4.792,4.289,4.198,4.300,4.339,4.753,4.707,4.752,4.854,5.213,5.362,4.718,5.434
1.741,1.238,0.000,0.612,1.708,1.958,2.442,2.471,3.144,2.626,3.561,3.798,3.277,4.004,4.115,4.723,3.625,3.648,4.767,4.642,4.601,4.991,5.330,5.978,5.673,5.217,5.632,5.820,5.219,4.926,5.003,5.096,5.783,5.704,5.529,5.201,4.976,4.858,3.488,4.182
1.744,1.067,0.612,0.000,0.273,0.867,1.531,2.127,2.094,2.048,3.014,3.378,2.943,3.465,3.267,3.902,3.060,3.037,3.724,3.654,3.562,3.858,4.176,4.795,4.542,4.094,4.539,4.737,4.042,3.796,4.060,4.460,4.794,4.550,3.885,3.270,3.327,3.549,2.909,3.923
2.435,2.035,1.708,0.273,0.000,0.410,1.489,1.179,2.186,2.382,3.254,3.707,3.460,3.901,3.523,4.282,3.568,3.461,3.903,3.932,3.813,3.952,4.196,4.880,4.585,4.117,4.543,4.797,4.197,3.866,4.155,4.505,4.941,4.655,3.864,3.175,3.491,3.429,3.153,4.006
3.176,2.696,1.958,0.867,0.410,0.000,0.579,1.211,1.836,2.263,2.539,2.738,2.869,3.179,2.964,3.891,3.319,3.176,3.514,3.509,3.416,3.513,3.713,4.228,4.056,3.699,4.158,4.262,3.605,3.364,3.551,4.059,4.350,4.158,3.578,2.755,2.923,3.068,3.193,3.904
2.901,1.919,2.442,1.531,1.489,0.579,0.000,0.630,0.874,0.760,1.336,1.031,1.008,1.354,0.996,2.083,1.848,1.670,1.819,1.730,1.587,1.738,1.815,2.326,2.172,1.909,2.339,2.320,1.681,1.583,1.760,2.705,2.915,2.849,2.946,2.878,3.881,4.052,4.846,5.400
3.176,2.598,2.471,2.127,1.179,1.211,0.630,0.000,0.607,1.174,0.985,1.289,1.652,1.891,1.666,2.622,2.369,2.005,2.179,2.263,2.063,2.268,2.164,2.628,2.574,2.157,2.426,2.452,1.850,1.593,1.696,2.661,3.235,3.271,3.515,3.499,4.328,4.615,5.049,5.747
3.057,2.218,3.144,2.094,2.186,1.836,0.874,0.607,0.000,0.401,1.390,1.297,1.513,1.497,1.445,2.199,1.865,1.643,1.979,1.907,1.823,2.053,1.963,2.548,2.428,1.984,2.381,2.287,1.518,1.523,1.634,2.758,3.172,3.336,3.688,3.779,4.428,5.009,5.523,6.264
2.363,0.773,2.626,2.048,2.382,2.263,0.760,1.174,0.401,0.000,0.330,0.830,0.789,0.982,0.929,1.419,0.887,0.809,1.427,1.393,1.453,1.512,1.479,2.229,1.885,1.636,2.101,2.027,1.531,1.462,1.281,1.942,2.939,3.134,3.735,4.057,4.977,5.377,5.945,6.705
