category,pdb_id,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode,gdt_ts,lddt_ca,scored_ca_count,ca_rmsd_recomputed,tm_score_recomputed
0pct_masked,1D0R,28,0.31916611276530693,2.308156738315536,2.9346685875369607,0.9372103367952959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9782608695652174,0.9646739130434783,PASS,,True,True,True,,,,,39.16,0,100.0,99.50248756218906,28,0.31610324821678226,0.9381168088129541
0pct_masked,1GCN,27,1.2813815368247603,3.725950354044235,4.497579684508993,0.5940301526327237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9761904761904762,0.9120234604105572,PASS_WITH_WARNINGS,BACKBONE_NEAR_MISS_LT_1A,False,True,True,,,,,50.64,0,89.81481481481481,97.1311475409836,27,1.2839718125428956,0.59432515407996
0pct_masked,1JRJ,37,0.35538466103623545,2.503726251142894,3.2208752520868247,0.9629878517875531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9846153846153847,0.9638932496075353,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,True,True,True,,,,,87.86,0,99.32432432432432,100.0,37,0.35549422035338346,0.9628704337493251
0pct_masked,1KX6,27,0.4830872510214344,3.194981388493443,4.027054415699834,0.8472889560308692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,0.0,0,0,1.0,0.9455128205128205,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,True,True,True,,,,,64.42,0,100.0,99.70414201183432,27,0.4703810658068468,0.8522428853780508
0pct_masked,2B4N,40,0.5207293972073002,2.8898236146588547,3.445277732507961,0.9331496417206295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9622641509433962,0.9608636977058029,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,True,True,True,,,,,104.11,0,99.375,99.82638888888889,40,0.5180730396623667,0.9340747757410343
0pct_masked,3IOL,24,0.29100029695793117,2.414104793082854,2.967899609292063,0.8925143994277326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,1.0,0.9598540145985401,PASS,,True,True,True,,,,,32.22,0,100.0,100.0,24,0.2943946393061565,0.889724142818534
50pct_masked,1D0R,28,0.5604180429855256,2.5242224291107287,3.242868706318751,0.8278024546035875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,1.0,0.9505494505494505,PASS_WITH_WARNINGS,HEAVY_ATOM_RMSD_HIGH,True,True,True,,,,,46.69,0,98.21428571428572,99.12935323383086,28,0.5533196622383807,0.8312361915477117
50pct_masked,1GCN,27,1.8385626089781255,3.961348875625586,5.022556111110455,0.4097389239696792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9523809523809523,0.9281437125748503,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,True,,,,,51.16,0,75.0,88.66120218579235,27,1.8388006068971012,0.41092300436568574
50pct_masked,1JRJ,37,0.9178928197368962,2.8828668893613223,3.6314191489497736,0.8498409876314212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0,0,0.9846153846153847,0.9256965944272446,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,True,True,True,,,,,64.34,0,94.5945945945946,96.92307692307692,37,0.9190889468778205,0.8502547085357003
50pct_masked,1KX6,27,1.0557060327938688,3.19693780572566,3.94252394872197,0.6536014196036425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,0.0,0,0,0.9230769230769231,0.92,PASS_WITH_WARNINGS,BACKBONE_NEAR_MISS_LT_1A,False,True,True,,,,,54.44,0,90.74074074074075,95.11834319526626,27,1.0519609855282457,0.6535394179533748
