i,j,partner_a,partner_b,kind
7,11,S7,K11,helix
14,18,E14,V18,helix
18,22,V18,I22,helix
22,26,I22,K26,helix
27,31,N27,S31,helix
29,33,G29,G33,helix
31,35,S31,P35,helix
3,8,G3,D8,sheet
5,10,F5,S10,sheet
5,12,F5,Q12,sheet
8,13,D8,M13,sheet
8,15,D8,E15,sheet
10,15,S10,E15,sheet
10,17,S10,A17,sheet
12,17,Q12,A17,sheet
12,19,Q12,R19,sheet
12,20,Q12,L20,sheet
13,19,M13,R19,sheet
13,20,M13,L20,sheet
15,20,E15,L20,sheet
17,36,A17,P36,sheet
17,37,A17,P37,sheet
19,36,R19,P36,sheet
19,37,R19,P37,sheet
20,28,L20,G28,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
28,36,G28,P36,sheet
28,37,G28,P37,sheet
32,37,S32,P37,sheet
