0.000,0.233,0.097,0.285,0.393,0.278,0.414,0.430,0.195,0.380,0.420,0.163,0.449,0.410,0.375,0.345,0.241,0.358,0.589,0.535,0.179,0.237,0.379,0.296,0.195,0.306,0.402,0.292,0.249,0.301,0.320,0.483,0.590,0.863,0.448,0.458,0.658
0.233,0.000,0.199,0.142,0.208,0.182,0.170,0.278,0.229,0.248,0.267,0.186,0.354,0.286,0.348,0.275,0.165,0.310,0.523,0.426,0.174,0.243,0.284,0.139,0.134,0.215,0.248,0.218,0.201,0.294,0.261,0.326,0.345,0.620,0.270,0.294,0.453
0.097,0.199,0.000,0.250,0.327,0.337,0.342,0.286,0.227,0.320,0.309,0.157,0.459,0.372,0.327,0.303,0.234,0.332,0.495,0.440,0.173,0.148,0.293,0.255,0.131,0.233,0.336,0.205,0.255,0.336,0.336,0.494,0.523,0.793,0.418,0.438,0.613
0.285,0.142,0.250,0.000,0.266,0.348,0.267,0.431,0.215,0.314,0.390,0.158,0.291,0.252,0.468,0.192,0.143,0.280,0.418,0.340,0.131,0.092,0.172,0.086,0.124,0.196,0.161,0.146,0.234,0.301,0.268,0.249,0.214,0.476,0.192,0.236,0.332
0.393,0.208,0.327,0.266,0.000,0.226,0.854,0.314,0.385,0.156,0.182,0.174,0.388,0.248,0.421,0.259,0.123,0.344,0.535,0.406,0.113,0.120,0.263,0.149,0.127,0.231,0.259,0.141,0.236,0.290,0.275,0.349,0.338,0.599,0.204,0.275,0.434
0.278,0.182,0.337,0.348,0.226,0.000,0.174,0.450,0.348,0.162,0.187,0.120,0.345,0.257,0.265,0.136,0.127,0.147,0.297,0.231,0.166,0.138,0.107,0.134,0.155,0.211,0.202,0.144,0.278,0.326,0.327,0.325,0.256,0.495,0.215,0.258,0.365
0.414,0.170,0.342,0.267,0.854,0.174,0.000,0.198,0.698,0.586,0.803,0.216,0.071,0.416,0.504,0.245,0.115,0.312,0.221,0.335,0.222,0.232,0.180,0.156,0.299,0.255,0.199,0.173,0.322,0.371,0.376,0.317,0.163,0.331,0.271,0.268,0.238
0.430,0.278,0.286,0.431,0.314,0.450,0.198,0.000,0.101,0.523,0.760,0.159,0.204,0.384,0.515,0.163,0.102,0.286,0.372,0.301,0.178,0.280,0.192,0.133,0.207,0.168,0.219,0.158,0.231,0.239,0.243,0.293,0.115,0.375,0.147,0.181,0.223
0.195,0.229,0.227,0.215,0.385,0.348,0.698,0.101,0.000,0.205,0.611,0.304,0.402,0.269,0.401,0.205,0.195,0.320,0.263,0.312,0.231,0.221,0.227,0.272,0.317,0.338,0.325,0.194,0.295,0.323,0.370,0.434,0.350,0.557,0.275,0.310,0.434
0.380,0.248,0.320,0.314,0.156,0.162,0.586,0.523,0.205,0.000,0.155,0.299,0.263,0.133,0.276,0.094,0.122,0.217,0.323,0.205,0.241,0.273,0.250,0.261,0.366,0.306,0.258,0.120,0.278,0.319,0.312,0.361,0.243,0.280,0.189,0.182,0.220
0.420,0.267,0.309,0.390,0.182,0.187,0.803,0.760,0.611,0.155,0.000,0.215,0.638,0.480,0.904,0.354,0.198,0.516,0.435,0.338,0.386,0.675,0.351,0.275,0.544,0.423,0.319,0.307,0.388,0.441,0.407,0.404,0.299,0.189,0.333,0.201,0.241
0.163,0.186,0.157,0.158,0.174,0.120,0.216,0.159,0.304,0.299,0.215,0.000,0.101,0.424,0.600,0.392,0.089,0.282,0.286,0.205,0.229,0.333,0.177,0.179,0.287,0.305,0.254,0.180,0.252,0.243,0.264,0.314,0.113,0.305,0.164,0.132,0.186
0.449,0.354,0.459,0.291,0.388,0.345,0.071,0.204,0.402,0.263,0.638,0.101,0.000,0.341,0.415,0.525,0.119,0.259,0.211,0.250,0.201,0.306,0.137,0.141,0.247,0.265,0.209,0.108,0.206,0.175,0.218,0.297,0.183,0.332,0.199,0.133,0.201
0.410,0.286,0.372,0.252,0.248,0.257,0.416,0.384,0.269,0.133,0.480,0.424,0.341,0.000,0.185,0.415,0.226,0.393,0.708,0.457,0.241,0.468,0.394,0.279,0.487,0.334,0.268,0.183,0.293,0.356,0.323,0.301,0.289,0.245,0.289,0.283,0.394
0.375,0.348,0.327,0.468,0.421,0.265,0.504,0.515,0.401,0.276,0.904,0.600,0.415,0.185,0.000,0.123,0.432,0.605,0.505,0.559,0.350,0.911,0.321,0.300,0.585,0.413,0.339,0.338,0.307,0.288,0.321,0.388,0.509,0.559,0.601,0.529,0.678
0.345,0.275,0.303,0.192,0.259,0.136,0.245,0.163,0.205,0.094,0.354,0.392,0.525,0.415,0.123,0.000,0.074,0.595,0.578,0.365,0.106,0.256,0.157,0.109,0.120,0.170,0.162,0.171,0.143,0.147,0.240,0.287,0.206,0.389,0.182,0.171,0.348
0.241,0.165,0.234,0.143,0.123,0.127,0.115,0.102,0.195,0.122,0.198,0.089,0.119,0.226,0.432,0.074,0.000,0.368,0.430,0.265,0.169,0.327,0.255,0.175,0.264,0.259,0.182,0.128,0.219,0.214,0.266,0.259,0.054,0.226,0.128,0.149,0.164
0.358,0.310,0.332,0.280,0.344,0.147,0.312,0.286,0.320,0.217,0.516,0.282,0.259,0.393,0.605,0.595,0.368,0.000,0.299,0.906,0.503,0.791,0.347,0.316,0.499,0.378,0.308,0.342,0.346,0.358,0.336,0.245,0.466,0.629,0.597,0.702,0.915
0.589,0.523,0.495,0.418,0.535,0.297,0.221,0.372,0.263,0.323,0.435,0.286,0.211,0.708,0.505,0.578,0.430,0.299,0.000,0.204,0.652,1.283,0.714,0.255,0.188,0.482,0.480,0.272,0.249,0.322,0.326,0.264,0.229,0.247,0.446,0.440,0.638
0.535,0.426,0.440,0.340,0.406,0.231,0.335,0.301,0.312,0.205,0.338,0.205,0.250,0.457,0.559,0.365,0.265,0.906,0.204,0.000,0.318,0.879,0.907,0.386,0.581,0.422,0.449,0.153,0.278,0.394,0.325,0.335,0.380,0.462,0.193,0.412,0.574
0.179,0.174,0.173,0.131,0.113,0.166,0.222,0.178,0.231,0.241,0.386,0.229,0.201,0.241,0.350,0.106,0.169,0.503,0.652,0.318,0.000,0.188,0.498,0.318,0.446,0.384,0.247,0.283,0.411,0.249,0.359,0.201,0.183,0.251,0.092,0.173,0.241
0.237,0.243,0.148,0.092,0.120,0.138,0.232,0.280,0.221,0.273,0.675,0.333,0.306,0.468,0.911,0.256,0.327,0.791,1.283,0.879,0.188,0.000,0.171,0.278,0.603,0.865,0.306,0.236,0.444,0.228,0.364,0.348,0.536,0.613,0.681,0.718,0.653
0.379,0.284,0.293,0.172,0.263,0.107,0.180,0.192,0.227,0.250,0.351,0.177,0.137,0.394,0.321,0.157,0.255,0.347,0.714,0.907,0.498,0.171,0.000,0.128,0.899,0.146,0.144,0.263,0.369,0.450,0.259,0.194,0.154,0.191,0.334,0.444,0.348
0.296,0.139,0.255,0.086,0.149,0.134,0.156,0.133,0.272,0.261,0.275,0.179,0.141,0.279,0.300,0.109,0.175,0.316,0.255,0.386,0.318,0.278,0.128,0.000,0.339,0.279,0.147,0.252,0.312,0.444,0.107,0.239,0.102,0.182,0.157,0.290,0.179
0.195,0.134,0.131,0.124,0.127,0.155,0.299,0.207,0.317,0.366,0.544,0.287,0.247,0.487,0.585,0.120,0.264,0.499,0.188,0.581,0.446,0.603,0.899,0.339,0.000,0.139,0.979,0.501,0.825,0.531,0.579,0.187,0.175,0.206,0.310,0.436,0.337
0.306,0.215,0.233,0.196,0.231,0.211,0.255,0.168,0.338,0.306,0.423,0.305,0.265,0.334,0.413,0.170,0.259,0.378,0.482,0.422,0.384,0.865,0.146,0.279,0.139,0.000,0.200,0.683,0.328,0.344,0.418,0.419,0.224,0.151,0.222,0.190,0.225
0.402,0.248,0.336,0.161,0.259,0.202,0.199,0.219,0.325,0.258,0.319,0.254,0.209,0.268,0.339,0.162,0.182,0.308,0.480,0.449,0.247,0.306,0.144,0.147,0.979,0.200,0.000,0.351,0.762,0.918,0.613,0.355,0.283,0.288,0.161,0.221,0.234
0.292,0.218,0.205,0.146,0.141,0.144,0.173,0.158,0.194,0.120,0.307,0.180,0.108,0.183,0.338,0.171,0.128,0.342,0.272,0.153,0.283,0.236,0.263,0.252,0.501,0.683,0.351,0.000,0.225,0.674,0.402,0.427,0.609,0.820,0.565,0.570,0.494
0.249,0.201,0.255,0.234,0.236,0.278,0.322,0.231,0.295,0.278,0.388,0.252,0.206,0.293,0.307,0.143,0.219,0.346,0.249,0.278,0.411,0.444,0.369,0.312,0.825,0.328,0.762,0.225,0.000,0.139,0.164,0.359,0.609,0.627,0.389,0.365,0.267
0.301,0.294,0.336,0.301,0.290,0.326,0.371,0.239,0.323,0.319,0.441,0.243,0.175,0.356,0.288,0.147,0.214,0.358,0.322,0.394,0.249,0.228,0.450,0.444,0.531,0.344,0.918,0.674,0.139,0.000,0.066,0.974,1.688,1.608,0.493,0.385,0.491
