i,j,partner_a,partner_b,kind
7,11,S7,K11,helix
13,17,M13,A17,helix
16,20,E16,L20,helix
18,22,V18,I22,helix
22,26,I22,K26,helix
29,33,G29,G33,helix
5,12,F5,Q12,sheet
6,12,T6,Q12,sheet
9,14,L9,E14,sheet
12,19,Q12,R19,sheet
14,19,E14,R19,sheet
14,21,E14,F21,sheet
19,24,R19,W24,sheet
19,25,R19,L25,sheet
19,35,R19,P35,sheet
19,36,R19,P36,sheet
19,37,R19,P37,sheet
21,27,F21,N27,sheet
21,35,F21,P35,sheet
21,36,F21,P36,sheet
21,37,F21,P37,sheet
24,31,W24,S31,sheet
24,35,W24,P35,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
25,31,L25,S31,sheet
25,35,L25,P35,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
31,36,S31,P36,sheet
