i,j,partner_a,partner_b,kind
6,10,I6,S10,helix
7,11,S7,I11,helix
9,13,Y9,M13,helix
10,14,S10,D14,helix
11,15,I11,K15,helix
13,17,M13,H17,helix
14,18,D14,Q18,helix
15,19,K15,Q19,helix
16,20,I16,D20,helix
17,21,H17,F21,helix
19,23,Q19,N23,helix
21,25,F21,L25,helix
23,27,N23,A27,helix
26,30,L26,G30,helix
27,31,A27,K31,helix
28,32,Q28,K32,helix
30,34,G30,D34,helix
33,37,N33,H37,helix
2,8,E2,D8,sheet
2,12,E2,A12,sheet
5,12,F5,A12,sheet
24,29,W24,K29,sheet
24,36,W24,K36,sheet
24,40,W24,T40,sheet
29,36,K29,K36,sheet
29,40,K29,T40,sheet
