i,j,partner_a,partner_b,kind
4,8,T4,D8,helix
29,33,G29,G33,helix
1,6,G1,T6,sheet
1,9,G1,L9,sheet
1,11,G1,K11,sheet
1,12,G1,Q12,sheet
2,9,E2,L9,sheet
2,11,E2,K11,sheet
2,12,E2,Q12,sheet
2,14,E2,E14,sheet
2,15,E2,E15,sheet
6,11,T6,K11,sheet
6,12,T6,Q12,sheet
6,14,T6,E14,sheet
9,14,L9,E14,sheet
20,35,L20,P35,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
23,30,E23,P30,sheet
23,32,E23,S32,sheet
23,34,E23,A34,sheet
23,35,E23,P35,sheet
23,36,E23,P36,sheet
23,37,E23,P37,sheet
24,30,W24,P30,sheet
24,32,W24,S32,sheet
24,34,W24,A34,sheet
24,35,W24,P35,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
27,32,N27,S32,sheet
27,34,N27,A34,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
30,35,P30,P35,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
32,37,S32,P37,sheet
