i,j,partner_a,partner_b,kind
3,7,G3,S7,helix
5,9,F5,V9,helix
7,11,S7,S11,helix
9,13,V9,L13,helix
11,15,S11,G15,helix
15,19,G15,K19,helix
18,22,A18,I22,helix
21,25,F21,L25,helix
22,26,I22,V26,helix
1,6,A1,T6,sheet
1,10,A1,S10,sheet
1,12,A1,Y12,sheet
1,17,A1,A17,sheet
1,20,A1,E20,sheet
2,10,E2,S10,sheet
2,12,E2,Y12,sheet
6,12,T6,Y12,sheet
6,17,T6,A17,sheet
6,20,T6,E20,sheet
6,23,T6,A23,sheet
10,17,S10,A17,sheet
10,20,S10,E20,sheet
10,23,S10,A23,sheet
12,17,Y12,A17,sheet
12,20,Y12,E20,sheet
12,23,Y12,A23,sheet
17,23,A17,A23,sheet
17,28,A17,G28,sheet
20,28,E20,G28,sheet
23,28,A23,G28,sheet
