i,j,partner_a,partner_b,kind
4,8,T4,D8,helix
6,10,T6,S10,helix
20,24,L20,W24,helix
24,28,W24,G28,helix
25,29,L25,G29,helix
28,32,G28,S32,helix
29,33,G29,G33,helix
32,36,S32,P36,helix
16,21,E16,F21,sheet
16,22,E16,I22,sheet
21,27,F21,N27,sheet
21,30,F21,P30,sheet
21,37,F21,P37,sheet
22,27,I22,N27,sheet
22,30,I22,P30,sheet
22,35,I22,P35,sheet
22,37,I22,P37,sheet
23,30,E23,P30,sheet
23,35,E23,P35,sheet
23,37,E23,P37,sheet
27,34,N27,A34,sheet
27,35,N27,P35,sheet
27,37,N27,P37,sheet
30,35,P30,P35,sheet
30,37,P30,P37,sheet
