0.000,0.306,0.686,0.563,0.971,0.679,0.280,0.731,0.260,0.656,0.383,0.391,0.526,0.405,0.305,0.494,0.390,0.641,0.303,0.441,0.351,0.467,0.261,0.307,0.474,0.289,0.393
0.306,0.000,0.351,0.878,1.232,0.674,0.500,0.801,0.450,0.740,0.365,0.567,0.661,0.464,0.261,0.707,0.469,0.630,0.415,0.473,0.407,0.444,0.301,0.471,0.381,0.295,0.445
0.686,0.351,0.000,0.117,1.140,0.814,0.577,0.844,0.407,0.612,0.376,0.602,0.505,0.388,0.301,0.567,0.405,0.578,0.434,0.331,0.402,0.336,0.263,0.418,0.371,0.242,0.408
0.563,0.878,0.117,0.000,0.153,0.993,0.505,0.885,0.470,1.025,0.345,0.550,0.568,0.554,0.484,0.402,0.394,0.833,0.427,0.602,0.381,0.434,0.286,0.360,0.475,0.318,0.578
0.971,1.232,1.140,0.153,0.000,0.333,0.860,0.482,0.334,0.719,0.540,0.586,0.902,0.621,0.699,0.596,0.576,0.961,0.639,0.786,0.647,0.620,0.523,0.313,0.614,0.524,0.509
0.679,0.674,0.814,0.993,0.333,0.000,0.360,0.853,0.750,1.174,0.576,0.918,0.865,0.585,0.546,0.752,0.462,0.678,0.422,0.726,0.422,0.457,0.370,0.417,0.384,0.340,0.486
0.280,0.500,0.577,0.505,0.860,0.360,0.000,0.252,1.340,1.658,0.799,0.964,1.125,1.104,0.883,0.658,0.761,1.005,0.639,0.872,0.530,0.719,0.509,0.398,0.611,0.484,0.695
0.731,0.801,0.844,0.885,0.482,0.853,0.252,0.000,0.149,1.409,0.628,0.897,0.956,0.654,0.916,0.692,0.734,0.979,0.697,1.055,0.717,0.881,0.656,0.352,0.629,0.646,0.593
0.260,0.450,0.407,0.470,0.334,0.750,1.340,0.149,0.000,0.281,0.503,0.561,0.399,0.498,0.210,0.454,0.293,0.581,0.419,0.609,0.390,0.487,0.383,0.261,0.515,0.438,0.443
0.656,0.740,0.612,1.025,0.719,1.174,1.658,1.409,0.281,0.000,0.352,0.950,0.751,0.759,0.580,0.750,0.336,0.610,0.515,1.086,0.684,0.892,0.437,0.370,0.589,0.524,0.616
0.383,0.365,0.376,0.345,0.540,0.576,0.799,0.628,0.503,0.352,0.000,0.250,0.982,0.525,0.467,0.527,0.274,0.390,0.207,0.460,0.244,0.308,0.273,0.303,0.495,0.338,0.445
0.391,0.567,0.602,0.550,0.586,0.918,0.964,0.897,0.561,0.950,0.250,0.000,0.205,1.352,1.032,0.902,0.491,0.631,0.885,0.725,0.395,0.489,0.325,0.384,0.452,0.331,0.536
