i,j,partner_a,partner_b,kind
4,8,T4,D8,helix
5,9,F5,L9,helix
6,10,T6,S10,helix
7,11,S7,K11,helix
8,12,D8,Q12,helix
9,13,L9,M13,helix
11,15,K11,E15,helix
12,16,Q12,E16,helix
13,17,M13,A17,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
19,23,R19,E23,helix
29,33,G29,G33,helix
14,20,E14,L20,sheet
20,27,L20,N27,sheet
20,35,L20,P35,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
24,30,W24,P30,sheet
24,32,W24,S32,sheet
24,35,W24,P35,sheet
24,36,W24,P36,sheet
24,37,W24,P37,sheet
27,32,N27,S32,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
30,35,P30,P35,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
