0.000,0.177,0.484,0.177,0.153,0.556,0.253,0.148,0.154,0.206,0.252,0.223,0.187,0.146,0.269,0.261,0.349,0.303,0.432,0.338,0.388,0.372,0.428,0.270
0.177,0.000,0.226,0.281,0.103,0.477,0.305,0.144,0.132,0.200,0.297,0.215,0.205,0.199,0.284,0.219,0.282,0.332,0.357,0.234,0.355,0.331,0.351,0.201
0.484,0.226,0.000,0.306,0.665,0.373,0.562,0.176,0.115,0.270,0.347,0.135,0.254,0.364,0.293,0.199,0.384,0.455,0.279,0.217,0.422,0.340,0.289,0.258
0.177,0.281,0.306,0.000,0.113,0.514,0.235,0.533,0.149,0.255,0.227,0.299,0.111,0.229,0.302,0.163,0.144,0.262,0.267,0.171,0.247,0.234,0.206,0.194
0.153,0.103,0.665,0.113,0.000,0.349,0.139,0.508,0.166,0.307,0.256,0.404,0.105,0.105,0.346,0.275,0.239,0.307,0.362,0.176,0.283,0.270,0.298,0.118
0.556,0.477,0.373,0.514,0.349,0.000,0.181,0.545,0.124,0.334,0.137,0.287,0.182,0.297,0.123,0.075,0.200,0.158,0.187,0.203,0.290,0.212,0.192,0.259
0.253,0.305,0.562,0.235,0.139,0.181,0.000,0.363,0.152,0.312,0.247,0.268,0.274,0.488,0.173,0.168,0.190,0.297,0.107,0.110,0.354,0.183,0.137,0.203
0.148,0.144,0.176,0.533,0.508,0.545,0.363,0.000,0.092,1.042,0.147,0.359,0.100,0.180,0.240,0.166,0.181,0.256,0.295,0.129,0.280,0.250,0.273,0.185
0.154,0.132,0.115,0.149,0.166,0.124,0.152,0.092,0.000,0.294,0.227,0.172,0.090,0.124,0.164,0.113,0.149,0.198,0.249,0.137,0.214,0.214,0.246,0.111
0.206,0.200,0.270,0.255,0.307,0.334,0.312,1.042,0.294,0.000,0.357,1.204,0.133,0.196,0.340,0.263,0.477,0.285,0.147,0.202,0.392,0.173,0.164,0.364
0.252,0.297,0.347,0.227,0.256,0.137,0.247,0.147,0.227,0.357,0.000,0.242,0.295,0.305,0.089,0.127,0.209,0.279,0.169,0.193,0.358,0.279,0.262,0.345
0.223,0.215,0.135,0.299,0.404,0.287,0.268,0.359,0.172,1.204,0.242,0.000,0.244,0.924,0.237,0.199,0.252,0.168,0.376,0.270,0.296,0.299,0.366,0.229
0.187,0.205,0.254,0.111,0.105,0.182,0.274,0.100,0.090,0.133,0.295,0.244,0.000,0.116,0.084,0.228,0.438,0.266,0.147,0.173,0.155,0.186,0.173,0.146
0.146,0.199,0.364,0.229,0.105,0.297,0.488,0.180,0.124,0.196,0.305,0.924,0.116,0.000,0.477,0.747,0.723,0.604,0.302,0.182,0.445,0.304,0.183,0.316
0.269,0.284,0.293,0.302,0.346,0.123,0.173,0.240,0.164,0.340,0.089,0.237,0.084,0.477,0.000,0.167,0.336,0.151,0.224,0.151,0.200,0.237,0.236,0.211
0.261,0.219,0.199,0.163,0.275,0.075,0.168,0.166,0.113,0.263,0.127,0.199,0.228,0.747,0.167,0.000,0.391,0.374,0.371,0.305,0.382,0.252,0.294,0.161
0.349,0.282,0.384,0.144,0.239,0.200,0.190,0.181,0.149,0.477,0.209,0.252,0.438,0.723,0.336,0.391,0.000,0.179,0.486,0.103,0.600,0.186,0.148,0.326
0.303,0.332,0.455,0.262,0.307,0.158,0.297,0.256,0.198,0.285,0.279,0.168,0.266,0.604,0.151,0.374,0.179,0.000,0.334,0.229,0.590,0.207,0.160,0.320
0.432,0.357,0.279,0.267,0.362,0.187,0.107,0.295,0.249,0.147,0.169,0.376,0.147,0.302,0.224,0.371,0.486,0.334,0.000,0.171,1.021,0.242,0.153,0.159
0.338,0.234,0.217,0.171,0.176,0.203,0.110,0.129,0.137,0.202,0.193,0.270,0.173,0.182,0.151,0.305,0.103,0.229,0.171,0.000,0.292,0.310,0.224,0.114
0.388,0.355,0.422,0.247,0.283,0.290,0.354,0.280,0.214,0.392,0.358,0.296,0.155,0.445,0.200,0.382,0.600,0.590,1.021,0.292,0.000,0.206,0.987,0.235
0.372,0.331,0.340,0.234,0.270,0.212,0.183,0.250,0.214,0.173,0.279,0.299,0.186,0.304,0.237,0.252,0.186,0.207,0.242,0.310,0.206,0.000,0.132,0.420
0.428,0.351,0.289,0.206,0.298,0.192,0.137,0.273,0.246,0.164,0.262,0.366,0.173,0.183,0.236,0.294,0.148,0.160,0.153,0.224,0.987,0.132,0.000,0.315
0.270,0.201,0.258,0.194,0.118,0.259,0.203,0.185,0.111,0.364,0.345,0.229,0.146,0.316,0.211,0.161,0.326,0.320,0.159,0.114,0.235,0.420,0.315,0.000
