i,j,partner_a,partner_b,kind
3,7,G3,S7,helix
5,9,F5,Y9,helix
6,10,I6,S10,helix
7,11,S7,I11,helix
9,13,Y9,M13,helix
12,16,A12,I16,helix
13,17,M13,H17,helix
16,20,I16,D20,helix
17,21,H17,F21,helix
18,22,Q18,V22,helix
19,23,Q19,N23,helix
20,24,D20,W24,helix
21,25,F21,L25,helix
22,26,V22,L26,helix
23,27,N23,A27,helix
24,28,W24,Q28,helix
25,29,L25,K29,helix
29,33,K29,N33,helix
33,37,N33,H37,helix
35,39,W35,I39,helix
1,8,A1,D8,sheet
1,14,A1,D14,sheet
2,14,E2,D14,sheet
8,14,D8,D14,sheet
32,40,K32,T40,sheet
34,40,D34,T40,sheet
