i,j,partner_a,partner_b,kind
3,7,G3,S7,helix
5,9,F5,Y9,helix
9,13,Y9,M13,helix
13,17,M13,H17,helix
1,8,A1,D8,sheet
1,10,A1,S10,sheet
23,28,N23,Q28,sheet
23,29,N23,K29,sheet
25,30,L25,G30,sheet
28,35,Q28,W35,sheet
28,39,Q28,I39,sheet
28,40,Q28,T40,sheet
29,34,K29,D34,sheet
29,35,K29,W35,sheet
29,39,K29,I39,sheet
29,40,K29,T40,sheet
30,35,G30,W35,sheet
30,39,G30,I39,sheet
30,40,G30,T40,sheet
31,39,K31,I39,sheet
31,40,K31,T40,sheet
32,40,K32,T40,sheet
34,39,D34,I39,sheet
34,40,D34,T40,sheet
35,40,W35,T40,sheet
