i,j,partner_a,partner_b,kind
8,12,D8,Q12,helix
9,13,L9,M13,helix
10,14,S10,E14,helix
12,16,Q12,E16,helix
16,20,E16,L20,helix
20,24,L20,W24,helix
21,25,F21,L25,helix
24,28,W24,G28,helix
25,29,L25,G29,helix
29,33,G29,G33,helix
5,11,F5,K11,sheet
5,17,F5,A17,sheet
6,11,T6,K11,sheet
7,17,S7,A17,sheet
7,26,S7,K26,sheet
11,17,K11,A17,sheet
11,26,K11,K26,sheet
17,26,A17,K26,sheet
17,27,A17,N27,sheet
17,37,A17,P37,sheet
26,34,K26,A34,sheet
26,35,K26,P35,sheet
26,37,K26,P37,sheet
27,34,N27,A34,sheet
27,35,N27,P35,sheet
27,37,N27,P37,sheet
