i,j,partner_a,partner_b,kind
3,7,G3,S7,helix
5,9,F5,L9,helix
7,11,S7,K11,helix
9,13,L9,M13,helix
10,14,S10,E14,helix
11,15,K11,E15,helix
13,17,M13,A17,helix
15,19,E15,R19,helix
17,21,A17,F21,helix
19,23,R19,E23,helix
21,25,F21,L25,helix
22,26,I22,K26,helix
24,28,W24,G28,helix
25,29,L25,G29,helix
26,30,K26,P30,helix
28,32,G28,S32,helix
30,34,P30,A34,helix
2,16,E2,E16,sheet
2,18,E2,V18,sheet
18,36,V18,P36,sheet
18,37,V18,P37,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
31,36,S31,P36,sheet
31,37,S31,P37,sheet
