i,j,partner_a,partner_b,kind
6,10,T6,S10,helix
8,12,D8,Q12,helix
11,15,K11,E15,helix
12,16,Q12,E16,helix
13,17,M13,A17,helix
15,19,E15,R19,helix
16,20,E16,L20,helix
17,21,A17,F21,helix
20,24,L20,W24,helix
22,26,I22,K26,helix
24,28,W24,G28,helix
26,30,K26,P30,helix
29,33,G29,G33,helix
2,7,E2,S7,sheet
3,9,G3,L9,sheet
7,14,S7,E14,sheet
9,14,L9,E14,sheet
18,25,V18,L25,sheet
18,36,V18,P36,sheet
18,37,V18,P37,sheet
25,34,L25,A34,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,34,N27,A34,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
