pdb_id,seed,is_blind_winner,residues,ca_rmsd,heavy_atom_rmsd,sidechain_heavy_atom_rmsd,tm_score_ca_ordered,global_topology_applied,global_topology_candidate_kind,global_topology_candidate_label,global_topology_axis,global_topology_reason,global_topology_tested_candidates,global_topology_before_rmsd,global_topology_after_rmsd,global_topology_best_candidate_rmsd,global_topology_before_local_chirality,global_topology_after_local_chirality,global_topology_before_window_match,global_topology_after_window_match,global_topology_before_domain_match,global_topology_after_domain_match,rigid_domain_reconv_applied,rigid_domain_reconv_passes,rigid_domain_reconv_accepted,rigid_domain_reconv_tested_candidates,rigid_domain_reconv_before_rmsd,rigid_domain_reconv_after_rmsd,rigid_domain_reconv_before_inter_err,rigid_domain_reconv_after_inter_err,topology_reconv_applied,topology_reconv_passes,topology_reconv_accepted,topology_reconv_before_rmsd,topology_reconv_after_rmsd,topology_reconv_before_close_err,topology_reconv_after_close_err,pre_local_rmsd,localized_anchor_rmsd,phase_b_ca_drift,lj_severe,lj_near,ramachandran_forbidden_fraction,rotamer_outlier_fraction,disulfides_expected,disulfides_locked,contact_f1,bin_accuracy,verdict,primary_failure_reason,success_lt_1a,success_lt_1p5a,success_lt_2a,best_of_n_runs,winner_seed,best_candidate_ca_rmsd,worst_candidate_ca_rmsd,runtime_s,returncode
1D0R,0,False,28,8.782129535397837,9.550833501895752,10.298602040797704,0.03958473008710469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,0.0,0.0,0,0,0.30434782608695654,0.26666666666666666,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,57.41,0
1D0R,1,False,28,8.571575279007728,9.7617182057377,11.060147469669959,0.03623921475839118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,0.0,0.0,0,0,0.41304347826086957,0.4666666666666667,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,58.5,0
1D0R,2,False,28,8.94065358487365,9.915564888476815,10.805675511006317,0.036097466188061936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,0.0,0,0,0.5434782608695652,0.5333333333333333,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,58.62,0
1D0R,3,False,28,8.360562445951716,9.415268504511634,10.398468615785646,0.043448643234703814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0.0,0.0,0,0,0.34782608695652173,0.5,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,57.81,0
1D0R,4,False,28,9.147212002262863,10.00724209220522,10.735981436433333,0.029895386434595782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,0.0,0,0,0.7391304347826085,0.4,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,45.91,0
1D0R,5,False,28,8.102304451664324,8.805726576363865,9.415224068606483,0.07577894475131795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0.0,0.0,0,0,0.5,0.36666666666666664,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,49.22,0
1D0R,6,False,28,8.249784031176407,8.55789082564237,8.903663152396454,0.03492540560923817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,0.0,0.0,0,0,0.391304347826087,0.3333333333333333,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,50.52,0
1D0R,7,False,28,10.410233747445872,10.689709134079719,10.751303589985975,0.032603508297853565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,0.0,0.0,0,0,0.2608695652173913,0.5666666666666667,PASS_WITH_WARNINGS,BACKBONE_TARGET_MISSED,False,False,False,,,,,50.28,0
1D0R,8,True,28,9.28255635940828,10.40335212398425,11.337322100506837,0.030474977857967957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,0.0,0.0,0,0,0.32608695652173914,0.5333333333333333,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,60.42,0
1D0R,9,False,28,8.633829880862702,9.295319899369398,10.020182479100185,0.027966534601586258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0.0,0.0,0,0,0.391304347826087,0.5333333333333333,PASS_WITH_WARNINGS,GA_NO_BACKBONE_IMPROVEMENT,False,False,False,,,,,54.19,0
