0.000,0.255,0.770,0.369,0.238,0.230,0.312,0.284,0.497,0.269,0.320,0.567,0.472,0.280,0.433,0.542,0.301,0.308,0.476,0.438,0.304,0.308,0.387,0.401,0.455,0.352,0.579
0.255,0.000,0.200,0.303,0.194,0.149,0.220,0.415,0.377,0.335,0.341,0.473,0.365,0.263,0.345,0.342,0.250,0.319,0.366,0.319,0.353,0.273,0.287,0.460,0.465,0.267,0.375
0.770,0.200,0.000,0.127,0.344,0.165,0.070,0.287,0.314,0.206,0.303,0.519,0.349,0.264,0.395,0.393,0.303,0.321,0.421,0.344,0.260,0.371,0.323,0.362,0.476,0.331,0.432
0.369,0.303,0.127,0.000,0.399,0.256,0.183,0.426,0.333,0.284,0.335,0.447,0.352,0.256,0.333,0.310,0.270,0.291,0.345,0.282,0.257,0.322,0.233,0.358,0.478,0.275,0.337
0.238,0.194,0.344,0.399,0.000,0.197,0.871,0.275,0.333,0.164,0.304,0.496,0.357,0.132,0.350,0.499,0.361,0.297,0.436,0.494,0.290,0.397,0.466,0.437,0.477,0.409,0.608
0.230,0.149,0.165,0.256,0.197,0.000,0.236,0.813,0.435,0.295,0.275,0.426,0.321,0.111,0.253,0.241,0.188,0.228,0.313,0.289,0.288,0.265,0.251,0.410,0.420,0.222,0.330
0.312,0.220,0.070,0.183,0.871,0.236,0.000,0.355,0.762,0.495,0.250,0.271,0.320,0.448,0.219,0.269,0.326,0.361,0.229,0.203,0.300,0.297,0.217,0.378,0.507,0.314,0.343
0.284,0.415,0.287,0.426,0.275,0.813,0.355,0.000,0.252,0.712,0.380,0.495,0.246,0.271,0.370,0.386,0.453,0.381,0.406,0.410,0.358,0.424,0.445,0.422,0.525,0.468,0.551
0.497,0.377,0.314,0.333,0.333,0.435,0.762,0.252,0.000,0.262,0.726,0.187,0.243,0.162,0.224,0.438,0.283,0.185,0.253,0.400,0.294,0.231,0.386,0.403,0.415,0.360,0.501
0.269,0.335,0.206,0.284,0.164,0.295,0.495,0.712,0.262,0.000,0.389,0.249,0.390,0.186,0.316,0.152,0.285,0.212,0.206,0.320,0.409,0.258,0.311,0.620,0.509,0.298,0.428
0.320,0.341,0.303,0.335,0.304,0.275,0.250,0.380,0.726,0.389,0.000,0.374,0.416,0.596,0.270,0.291,0.369,0.355,0.132,0.150,0.309,0.265,0.207,0.380,0.444,0.264,0.338
0.567,0.473,0.519,0.447,0.496,0.426,0.271,0.495,0.187,0.249,0.374,0.000,0.319,0.507,0.574,0.248,0.495,0.307,0.164,0.346,0.242,0.222,0.276,0.257,0.272,0.275,0.363
0.472,0.365,0.349,0.352,0.357,0.321,0.320,0.246,0.243,0.390,0.416,0.319,0.000,0.353,0.649,0.334,0.233,0.345,0.334,0.274,0.316,0.177,0.233,0.404,0.369,0.269,0.318
0.280,0.263,0.264,0.256,0.132,0.111,0.448,0.271,0.162,0.186,0.596,0.507,0.353,0.000,0.217,1.009,0.240,0.287,0.273,0.390,0.329,0.277,0.187,0.371,0.401,0.116,0.236
0.433,0.345,0.395,0.333,0.350,0.253,0.219,0.370,0.224,0.316,0.270,0.574,0.649,0.217,0.000,0.307,0.945,0.522,0.364,0.287,0.472,0.229,0.167,0.388,0.331,0.229,0.338
0.542,0.342,0.393,0.310,0.499,0.241,0.269,0.386,0.438,0.152,0.291,0.248,0.334,1.009,0.307,0.000,0.407,1.257,0.263,0.343,0.368,0.261,0.160,0.272,0.356,0.231,0.435
0.301,0.250,0.303,0.270,0.361,0.188,0.326,0.453,0.283,0.285,0.369,0.495,0.233,0.240,0.945,0.407,0.000,0.274,0.831,0.394,0.446,0.490,0.131,0.543,0.550,0.345,0.235
0.308,0.319,0.321,0.291,0.297,0.228,0.361,0.381,0.185,0.212,0.355,0.307,0.345,0.287,0.522,1.257,0.274,0.000,0.325,0.847,0.391,0.314,0.406,0.362,0.371,0.146,0.178
0.476,0.366,0.421,0.345,0.436,0.313,0.229,0.406,0.253,0.206,0.132,0.164,0.334,0.273,0.364,0.263,0.831,0.325,0.000,0.241,0.549,0.628,0.212,0.436,0.367,0.306,0.327
0.438,0.319,0.344,0.282,0.494,0.289,0.203,0.410,0.400,0.320,0.150,0.346,0.274,0.390,0.287,0.343,0.394,0.847,0.241,0.000,0.289,0.512,0.175,0.264,0.297,0.281,0.383
0.304,0.353,0.260,0.257,0.290,0.288,0.300,0.358,0.294,0.409,0.309,0.242,0.316,0.329,0.472,0.368,0.446,0.391,0.549,0.289,0.000,0.199,0.519,0.269,0.538,0.138,0.506
0.308,0.273,0.371,0.322,0.397,0.265,0.297,0.424,0.231,0.258,0.265,0.222,0.177,0.277,0.229,0.261,0.490,0.314,0.628,0.512,0.199,0.000,0.189,0.882,0.170,0.336,0.235
0.387,0.287,0.323,0.233,0.466,0.251,0.217,0.445,0.386,0.311,0.207,0.276,0.233,0.187,0.167,0.160,0.131,0.406,0.212,0.175,0.519,0.189,0.000,0.162,0.802,0.266,0.412
0.401,0.460,0.362,0.358,0.437,0.410,0.378,0.422,0.403,0.620,0.380,0.257,0.404,0.371,0.388,0.272,0.543,0.362,0.436,0.264,0.269,0.882,0.162,0.000,0.359,1.111,0.824
0.455,0.465,0.476,0.478,0.477,0.420,0.507,0.525,0.415,0.509,0.444,0.272,0.369,0.401,0.331,0.356,0.550,0.371,0.367,0.297,0.538,0.170,0.802,0.359,0.000,0.329,1.804
0.352,0.267,0.331,0.275,0.409,0.222,0.314,0.468,0.360,0.298,0.264,0.275,0.269,0.116,0.229,0.231,0.345,0.146,0.306,0.281,0.138,0.336,0.266,1.111,0.329,0.000,0.248
0.579,0.375,0.432,0.337,0.608,0.330,0.343,0.551,0.501,0.428,0.338,0.363,0.318,0.236,0.338,0.435,0.235,0.178,0.327,0.383,0.506,0.235,0.412,0.824,1.804,0.248,0.000
