i,j,partner_a,partner_b,kind
6,10,T6,S10,helix
7,11,S7,K11,helix
10,14,S10,E14,helix
11,15,K11,E15,helix
12,16,Q12,E16,helix
15,19,E15,R19,helix
19,23,R19,E23,helix
22,26,I22,K26,helix
24,28,W24,G28,helix
3,8,G3,D8,sheet
3,9,G3,L9,sheet
4,9,T4,L9,sheet
5,13,F5,M13,sheet
8,13,D8,M13,sheet
13,18,M13,V18,sheet
13,20,M13,L20,sheet
18,25,V18,L25,sheet
18,36,V18,P36,sheet
18,37,V18,P37,sheet
20,25,L20,L25,sheet
20,27,L20,N27,sheet
20,35,L20,P35,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
25,32,L25,S32,sheet
25,33,L25,G33,sheet
25,34,L25,A34,sheet
25,35,L25,P35,sheet
25,36,L25,P36,sheet
25,37,L25,P37,sheet
27,32,N27,S32,sheet
27,33,N27,G33,sheet
27,34,N27,A34,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
