i,j,partner_a,partner_b,kind
3,7,G3,S7,helix
17,21,A17,F21,helix
21,25,F21,L25,helix
24,28,W24,G28,helix
25,29,L25,G29,helix
29,33,G29,G33,helix
2,8,E2,D8,sheet
15,20,E15,L20,sheet
16,23,E16,E23,sheet
20,26,L20,K26,sheet
20,27,L20,N27,sheet
20,35,L20,P35,sheet
20,36,L20,P36,sheet
20,37,L20,P37,sheet
23,30,E23,P30,sheet
23,34,E23,A34,sheet
23,35,E23,P35,sheet
23,36,E23,P36,sheet
23,37,E23,P37,sheet
26,34,K26,A34,sheet
26,35,K26,P35,sheet
26,36,K26,P36,sheet
26,37,K26,P37,sheet
27,34,N27,A34,sheet
27,35,N27,P35,sheet
27,36,N27,P36,sheet
27,37,N27,P37,sheet
30,35,P30,P35,sheet
30,36,P30,P36,sheet
30,37,P30,P37,sheet
